File created on 2020-10-07T15:24:25.164921
#COOR
GSM


#START
2000 07 15 00 52 00 000       -2.21      -3.07       3.53    -730.30     -49.82      -8.77       8.02  196480.00
2000 07 15 00 53 00 000       -2.28      -3.14       3.35    -730.40     -49.83      -8.75       8.01  196375.00
2000 07 15 00 54 00 000       -2.27      -3.40       3.16    -733.30     -48.73      -7.53       7.19  191533.00
2000 07 15 00 55 00 000       -2.42      -3.01       3.42    -731.30     -48.63      -7.51       7.76  201430.00
2000 07 15 00 56 00 000       -2.38      -3.16       3.40    -732.20     -51.22      -4.88       7.36  228694.00
2000 07 15 00 57 00 000       -2.35      -3.21       3.24    -731.10     -52.43      -6.15       8.26  252706.00
2000 07 15 00 58 00 000       -2.31      -3.33       3.11    -731.10     -52.43      -6.12       8.26  252706.00
2000 07 15 00 59 00 000       -2.29      -3.29       3.04    -731.77     -56.77      -6.07       8.53  236714.33
2000 07 15 01 00 00 000       -2.51      -3.52       3.02    -732.43     -61.11      -6.02       8.79  220722.67
2000 07 15 01 01 00 000       -2.44      -3.60       2.92    -733.10     -65.44      -5.96       9.06  204731.00
2000 07 15 01 02 00 000       -2.01      -3.94       2.76    -733.10     -65.44      -5.93       9.06  204731.00
2000 07 15 01 03 00 000       -1.86      -3.95       2.58    -735.40     -61.74      -5.09       8.79  227911.67
2000 07 15 01 04 00 000       -1.65      -3.63       2.85    -737.70     -58.04      -4.26       8.53  251092.33
2000 07 15 01 05 00 000       -1.44      -3.32       3.11    -740.00     -54.33      -3.43       8.26  274273.00
2000 07 15 01 06 00 000       -1.23      -3.00       3.38    -740.00     -54.33      -3.40       8.26  274273.00
2000 07 15 01 07 00 000       -1.22      -2.81       3.42    -737.90     -48.39      -4.03       8.78  277594.00
2000 07 15 01 08 00 000       -1.17      -2.83       3.09    -735.80     -42.45      -4.67       9.29  280915.00
2000 07 15 01 09 00 000       -1.23      -2.45       2.61    -737.60     -41.44      -3.56       9.22  203279.00
2000 07 15 01 10 00 000       -1.02      -1.77       2.86    -739.60     -45.25      -4.70       9.77  170947.00
2000 07 15 01 11 00 000       -0.95      -1.45       3.14    -737.10     -44.10      -7.89       9.83  197951.00
2000 07 15 01 12 00 000       -0.87      -1.77       3.25    -736.70     -42.72      -9.68       9.92  206132.00
2000 07 15 01 13 00 000       -0.85      -1.79       3.47    -735.70     -45.00      -7.33       9.86  283553.00
2000 07 15 01 14 00 000       -0.71      -1.84       3.42    -740.10     -48.97      -4.76      10.14  261964.00
2000 07 15 01 15 00 000       -0.73      -1.95       3.27    -740.20     -50.40      -6.61      10.04  262180.00
2000 07 15 01 16 00 000       -0.94      -2.22       3.17    -739.20     -34.05      -3.52      10.79  194736.00
2000 07 15 01 17 00 000        0.93      -0.26       3.60    -740.30     -32.35      -3.43       9.80  261849.00
2000 07 15 01 18 00 000        1.66      -0.46       3.66    -742.20     -35.04      -2.07      11.82  213351.00
2000 07 15 01 19 00 000        0.80      -0.51       3.46    -749.70     -39.30      -5.89      10.05  206514.00
2000 07 15 01 20 00 000        0.14      -1.04       3.36    -746.50     -39.20      -5.87      10.41  236007.00
2000 07 15 01 21 00 000       -0.12      -1.21       3.38    -744.40     -39.09      -4.85      10.18  264029.00
2000 07 15 01 22 00 000       -0.72      -1.42       3.74    -744.00     -39.06      -3.23      12.36  125216.00
2000 07 15 01 23 00 000       -1.17      -1.19       3.23    -744.80     -41.69      -4.46      11.28  192357.00
2000 07 15 01 24 00 000       -0.45      -1.77       2.95    -743.90     -40.39      -4.46      11.60  189884.00
2000 07 15 01 25 00 000       -0.28      -1.85       2.88    -741.90     -40.27      -3.14      11.68  238629.00
2000 07 15 01 26 00 000       -0.11      -1.88       3.09    -742.20     -33.72      -0.65       9.37  287561.00
2000 07 15 01 27 00 000       -0.74      -2.54       3.01    -736.20     -34.80      -4.41      10.33  203274.00
2000 07 15 01 28 00 000       -1.04      -2.73       2.74    -742.00     -38.95      -1.90      11.02  274460.00
2000 07 15 01 29 00 000       -0.54      -2.73       2.85    -740.90     -37.43      -5.61      10.29  248094.00
2000 07 15 01 30 00 000       -0.68      -2.63       2.88    -740.30     -35.10      -4.34      10.00  153571.00
2000 07 15 01 31 00 000        0.06      -1.74       3.16    -742.00     -36.15      -1.80      11.34  167942.00
2000 07 15 01 32 00 000        0.76      -0.86       3.40    -738.20     -30.98      -3.20      10.87  196755.00
2000 07 15 01 33 00 000        0.05      -1.73       2.98    -731.10     -31.26      -2.38       8.92  230101.00
2000 07 15 01 34 00 000       -0.96      -2.42       2.63    -738.80     -37.40      -7.91       9.17  215149.00
2000 07 15 01 35 00 000       -1.23      -2.39       2.57    -736.50     -37.70      -7.78       8.64  201936.00
2000 07 15 01 36 00 000       -1.53      -2.92       2.19    -735.30     -40.90      -7.38       9.29  183777.00
2000 07 15 01 37 00 000       -1.37      -3.40       1.70    -737.80     -38.98      -6.71       9.02  227807.00
2000 07 15 01 38 00 000       -0.86      -3.30       2.18    -737.00     -37.49      -6.83       8.51  217967.00
2000 07 15 01 39 00 000       -0.79      -3.37       2.37    -738.80     -45.86     -12.98       9.53  210531.00
2000 07 15 01 40 00 000       -1.52      -4.04       2.26    -736.30     -57.18      -5.94      10.36  374013.00
2000 07 15 01 41 00 000       -1.32      -3.70       4.50    -729.40     -50.89      -6.18       7.31  419697.00
2000 07 15 01 42 00 000       -1.58      -3.87       4.29    -733.80     -59.09      -5.72       8.03  289500.00
2000 07 15 01 43 00 000       -2.92      -3.67       3.58    -736.30     -63.26      -4.66       8.79  242240.00
2000 07 15 01 44 00 000       -2.61      -3.59       3.98    -736.30     -61.24      -3.99       8.21  281741.00
2000 07 15 01 45 00 000       -2.47      -4.35       3.64    -745.90     -65.14      -0.53       6.23  330129.00
2000 07 15 01 46 00 000       -3.17      -3.84       3.56    -743.80     -62.01       0.61       7.22  233920.00
2000 07 15 01 47 00 000       -2.31      -4.07       3.39    -753.00     -52.61       0.35       7.56  241141.00
2000 07 15 01 48 00 000       -1.96      -4.61       2.92    -739.50     -49.12       0.27       7.79  298070.00
2000 07 15 01 49 00 000       -2.71      -4.48       3.01    -741.50     -49.16      -1.00       7.55  188534.00
2000 07 15 01 50 00 000       -2.23      -4.70       2.74    -749.00     -39.28       1.30       7.67  291666.00
2000 07 15 01 51 00 000       -2.17      -5.08       2.50    -738.20     -51.75      -3.46       8.59  224281.00
2000 07 15 01 52 00 000       -1.39      -5.91       1.51    -743.00     -53.21       0.53       9.64  178015.00
2000 07 15 01 53 00 000       -1.69      -5.52       2.55    -740.30     -48.06      -0.92       7.55  196601.00
2000 07 15 01 54 00 000       -2.43      -5.36       2.58    -734.60     -59.20      -1.79       9.41  210505.00
2000 07 15 01 55 00 000       -3.76      -4.29       4.03    -731.90     -56.45      -3.06       6.93  371077.00
2000 07 15 01 56 00 000       -3.88      -4.42       3.53    -734.90     -55.50      -4.36       8.33  241413.00
2000 07 15 01 57 00 000       -4.41      -5.61       1.48    -731.80     -58.96       2.21       7.24  281497.00
2000 07 15 01 58 00 000       -4.51      -5.61       1.29    -738.50     -61.91       0.95       7.00  270154.00
2000 07 15 01 59 00 000       -3.91      -5.41       2.62    -739.90     -60.15      -0.18       7.41  211081.00
2000 07 15 02 00 00 000       -3.73      -5.21       3.07    -749.40     -43.47       1.70       4.54  369103.00
2000 07 15 02 01 00 000       -4.39      -5.21       1.99    -738.10     -52.91       0.81       7.13  314174.00
2000 07 15 02 02 00 000       -4.10      -4.88       2.69    -727.20     -50.96      -0.44       5.99  258509.00
